COORD,A0,E0,A4,E4
D0,-79,-75,-87,-83
D0,-79,-75,-87,-83
D0,-79,-75,-87,-83
D1,-79,-75,-87,-83
D1,-79,-75,-87,-83
D1,-79,-75,-87,-83
D1,-79,-75,-87,-83
D1,-79,-75,-87,-83
D1,-79,-75,-87,-83
D1,-79,-75,-87,-83
D1,-79,-75,-87,-83
D1,-79,-75,-87,-83
D1,-79,-75,-87,-83
D1,-79,-75,-87,-83
D1,-79,-75,-87,-83
D2,-79,-80,-87,-83
D2,-79,-80,-87,-83
D2,-79,-80,-87,-83
D2,-79,-82,-87,-83
D2,-79,-82,-87,-83
D2,-79,-82,-87,-83
D2,-79,-82,-87,-83
D2,-79,-82,-87,-83
D2,-79,-82,-87,-83
D2,-79,-82,-87,-83
D2,-79,-82,-87,-83
D2,-79,-82,-87,-83
D2,-79,-82,-87,-83
D2,-79,-82,-87,-83
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D3,-79,-78,-87,-84
D4,-79,-78,-82,-79
D4,-79,-78,-82,-79
D4,-79,-78,-82,-79
D4,-79,-78,-82,-79
D4,-79,-78,-82,-79
D4,-79,-78,-82,-79
D4,-79,-78,-82,-79
D4,-79,-78,-82,-79
D4,-79,-78,-82,-79
D4,-79,-78,-82,-79
D4,-79,-78,-82,-79
D4,-79,-78,-82,-79
D4,-79,-78,-82,-79
D4,-79,-78,-82,-79
C4,-79,-78,-77,-79
C4,-79,-78,-77,-79
C4,-79,-78,-77,-79
C4,-79,-78,-77,-79
C4,-79,-78,-77,-79
C4,-79,-78,-77,-79
C4,-79,-78,-77,-79
C4,-79,-78,-77,-79
C4,-79,-78,-77,-79
C4,-79,-78,-77,-79
C4,-79,-78,-77,-79
C4,-79,-78,-77,-79
C4,-79,-78,-77,-79
